time-of-completion,duration,label
2024-01-24-14-56,45,
2024-01-24-14-10,45,
2024-01-24-12-56,45,
2024-01-24-12-10,45,
2024-01-24-11-24,45,
2024-01-24-10-09,45,
2024-01-23-22-49,45,
2024-01-23-22-03,45,
2024-01-23-21-17,45,
2024-01-23-16-33,45,
2024-01-23-15-47,45,
2024-01-23-14-08,45,
2024-01-23-12-12,45,
2024-01-23-11-26,45,
2024-01-23-10-40,45,
2024-01-23-06-31,45,
2024-01-23-05-45,45,
2024-01-22-20-45,45,
2024-01-22-19-59,45,
2024-01-22-19-13,45,
2024-01-22-18-27,45,
2024-01-22-17-41,45,
2024-01-22-16-55,45,
2024-01-22-16-09,45,
2024-01-22-14-51,45,
2024-01-22-14-05,45,
2024-01-22-13-19,45,
2024-01-22-11-05,45,
2024-01-22-09-55,45,
2024-01-22-06-05,45,
2024-01-21-23-03,45,
2024-01-21-22-17,45,
2024-01-21-21-31,45,
2024-01-21-20-45,45,
2024-01-21-16-43,45,
2024-01-21-15-28,45,
2024-01-21-14-42,45,
2024-01-21-11-51,45,
2024-01-20-20-23,45,
2024-01-20-19-37,45,
2024-01-20-18-51,45,
2024-01-20-18-05,45,
2024-01-20-17-19,45,
2024-01-18-21-16,45,
2024-01-18-20-30,45,
2024-01-18-19-44,45,
2024-01-18-17-21,45,
2024-01-18-16-35,45,
2024-01-18-15-49,45,
2024-01-18-15-03,45,
2024-01-18-13-46,45,
2024-01-18-13-00,45,
2024-01-18-12-14,45,
2024-01-18-11-28,45,
2024-01-17-17-26,45,
2024-01-17-16-40,45,
2024-01-17-15-54,45,
2024-01-17-15-08,45,
2024-01-17-14-22,45,
2024-01-17-13-36,45,
2024-01-17-12-50,45,
2024-01-17-12-04,45,
2024-01-17-10-38,45,
2024-01-17-09-52,45,
2024-01-17-09-07,9,
2024-01-16-23-32,45,
2024-01-16-22-46,45,
2024-01-16-22-00,45,
2024-01-16-17-19,45,
2024-01-16-16-33,45,
2024-01-16-15-47,45,
2024-01-16-15-01,45,
2024-01-16-14-15,45,
2024-01-16-13-29,45,
2024-01-16-12-26,45,
2024-01-16-11-40,45,
2024-01-16-10-54,45,
2024-01-16-10-08,45,
2024-01-15-23-40,45,
2024-01-15-21-58,45,
2024-01-15-21-12,45,
2024-01-15-20-23,45,
2024-01-15-18-13,45,
2024-01-15-17-27,45,
2024-01-15-16-41,45,
2024-01-15-14-39,45,
2024-01-15-13-53,45,
2024-01-15-10-44,45,
2024-01-15-09-38,45,
2024-01-15-04-24,45,
2024-01-15-03-38,45,
2024-01-15-02-44,23,
2024-01-14-20-29,45,
2024-01-14-19-43,45,
2024-01-14-18-57,45,
2024-01-14-18-11,45,
2024-01-14-17-24,45,
2024-01-14-15-10,45,
2024-01-14-14-24,45,
2024-01-14-13-38,45,
2024-01-13-23-52,45,
2024-01-13-23-06,45,
2024-01-13-21-55,45,
2024-01-13-20-41,45,
2024-01-13-17-08,45,
2024-01-13-16-22,45,
2024-01-13-15-15,45,
2024-01-13-14-29,45,
2024-01-13-13-43,45,
2024-01-13-12-57,45,
2024-01-12-22-46,45,
2024-01-12-21-45,45,
2024-01-12-20-59,45,
2024-01-12-20-13,45,
2024-01-12-16-26,45,
2024-01-12-15-40,45,
2024-01-12-14-54,45,
2024-01-12-14-08,45,
2024-01-12-12-41,45,
2024-01-12-11-55,45,
2024-01-12-10-36,45,
2024-01-12-09-50,45,
2024-01-10-21-32,42,
2024-01-10-16-30,45,
2024-01-10-15-15,45,
2024-01-10-13-18,45,
